chrm,start,stop,Fst,MAR.Tajimas_D,MAR.W_theta,MAR.pi,MAR.Seg_Sites,CAP.Tajimas_D,CAP.W_theta,CAP.pi,CAP.Seg_Sites
1,229,1229,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0
1,729,1729,nan,nan,0.0,0.0,0.0,-0.976504204978,0.252489830271,0.142857142857,0.714285714286
1,1229,2229,nan,nan,0.0,0.0,0.0,-0.976504204978,0.252489830271,0.142857142857,0.714285714286
1,1729,2729,-0.0225618631732,-0.46663562671,1.97407025574,1.74875124875,5.58458208458,0.189681494622,0.701262547244,0.742590742591,1.98384948385
1,2229,3229,0.0356427555342,0.0736403739625,2.68068864786,2.72677322677,7.58358308358,-0.0906430393562,1.64389124692,1.60622710623,4.65051615052
1,2729,3729,0.0783386170587,0.400166772008,1.06010415451,1.17802197802,2.999000999,-0.292718186765,0.942628699677,0.863636363636,2.66666666667
1,3229,4229,nan,-1.11173317656,0.353485762379,0.2,1.0,nan,0.0,0.0,0.0
1,3729,4729,nan,-0.610352300018,0.648057231028,0.522222222222,1.83333333333,nan,0.0,0.0,0.0
1,4229,5229,0.109311740891,-0.7785484795,1.35502875579,1.07777777778,3.83333333333,1.3026779048,0.353485762379,0.533333333333,1.0
1,4729,5729,0.110053324496,-0.725675652125,1.38528045107,1.12232212232,3.91891441891,1.3026779048,0.353485762379,0.533333333333,1.0
1,5229,6229,0.111608809257,-0.524059764396,0.67830892631,0.566766566767,1.91891441891,nan,0.0,0.0,0.0
1,5729,6729,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0
1,6229,7229,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0
1,6729,7729,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0
1,7229,8229,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0
1,7729,8729,-0.0379124863361,1.87165912632,1.06045728714,1.61212121212,3.0,1.80997271836,1.06045728714,1.59393939394,3.0
1,8229,9229,-0.0379124863361,1.5035721051,1.41394304952,1.96767676768,4.0,1.80997271836,1.06045728714,1.59393939394,3.0
1,8729,9729,nan,0.0149919947447,0.353485762379,0.355555555556,1.0,nan,0.0,0.0,0.0
1,9229,10229,0.388004895961,0.0149919947447,0.353485762379,0.355555555556,1.0,0.525941395125,0.706971524758,0.822222222222,2.0
1,9729,10729,0.345907722784,0.608913307927,0.706971524758,0.840404040404,2.0,0.340268989749,1.04783279562,1.14722222222,2.96428571429
1,10229,11229,0.295905147787,0.951490838424,0.353485762379,0.484848484848,1.0,-0.117541323318,0.340861270865,0.325,0.964285714286
1,10729,11729,0.103313840156,-0.761082095263,0.618600084163,0.466666666667,1.75,nan,0.0,0.0,0.0
1,11229,12229,0.103313840156,-0.0745035452726,0.972085846542,0.951515151515,2.75,-0.194075606024,1.32314382209,1.25531135531,3.74313186813
1,11729,12729,nan,0.951490838424,0.353485762379,0.484848484848,1.0,-0.194075606024,1.32314382209,1.25531135531,3.74313186813
1,12229,13229,-0.0138108248065,0.919363836864,1.41394304952,1.75252525253,4.0,1.26022672096,0.353485762379,0.527472527473,1.0
1,12729,13729,0.00772697108427,0.919363836864,1.41394304952,1.75252525253,4.0,0.468049031231,0.662785804461,0.760805860806,1.875
1,13229,14229,0.0382009303007,1.3904746714,0.353485762379,0.545454545455,1.0,0.26451780914,0.662785804461,0.718181818182,1.875
1,13729,14729,0.0403597698083,0.137585658126,1.06045728714,1.10101010101,3.0,0.110409900099,0.60597559265,0.627705627706,1.71428571429
1,14229,15229,0.028822284054,-0.329435888986,1.7674288119,1.62222222222,5.0,0.0544640084241,1.31294711741,1.33186813187,3.71428571429
1,14729,15729,0.00620462569641,-0.105917734889,1.40858720463,1.3696969697,3.98484848485,0.227287593417,1.40858720463,1.49204129204,3.98484848485
